"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"influenza B virus antigen",0.12,"MG",1928344,NA,NA
"influenza A virus (H1N1) antigen",0.03,"MG",1928307,NA,NA
"influenza A virus (H3N2) antigen",0.03,"MG",1928307,NA,NA
"influenza B virus antigen",0.03,"MG",1928307,NA,NA
"beclomethasone",80,"MCG",1998772,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"triamcinolone",32,"MG",1947133,"GLUCOCORTICOIDS","HS051"
"triamcinolone",32,"MG",1947133,"OPHTHALMICS,OTHER","OP900"
"varicella zoster virus glycoprotein E",0.1,"MG",1986830,"VACCINES","IM100"
"eletriptan",20,"MG",404443,"ANTIMIGRAINE AGENTS","CN105"
"exenatide",2.35,"MG",1990869,"BLOOD GLUCOSE REGULATION AGENTS","HS500"
"arformoterol",0.0075,"MG",695935,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"aprepitant",7.2,"MG",2631788,"ANTIEMETICS","GA605"
"semaglutide",1.34,"MG",1991317,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"semaglutide",1.34,"MG",1991311,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"picosulfurate",0.0625,"MG",1991509,"HYPEROSMOTIC LAXATIVES","GA202"
"citric acid",75,"MG",1991509,"HYPEROSMOTIC LAXATIVES","GA202"
"magnesium oxide",21.9,"MG",1991509,"HYPEROSMOTIC LAXATIVES","GA202"
"adalimumab",100,"MG",1872980,"ANTIRHEUMATICS,OTHER","MS190"
"baclofen",5,"MG",430902,"SKELETAL MUSCLE RELAXANTS","MS200"
"naphazoline",0.27,"MG",1043708,"OPHTHALMICS,OTHER","OP900"
"pheniramine",3.15,"MG",1043708,"OPHTHALMICS,OTHER","OP900"
"vitamin B12",0.5,"MG",861115,"CYANOCOBALAMIN","VT101"
"sodium zirconium cyclosilicate",10000,"MG",2053927,"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS","AD400"
"metoprolol",50,"MG",2047775,"BETA BLOCKERS/RELATED","CV100"
"filgrastim",0.6,"MG",2057216,"BLOOD FORMATION PRODUCTS","BL400"
"atomoxetine",25,"MG",352319,"CNS MEDICATIONS,OTHER","CN900"
"levothyroxine",0.15,"MG",966196,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.125,"MG",966187,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.075,"MG",966166,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.05,"MG",966160,"THYROID SUPPLEMENTS","HS851"
"omalizumab",150,"MG",2058946,"IMMUNE SUPPRESSANTS","IM600"
"pegfilgrastim",10,"MG",2102705,"BLOOD FORMATION PRODUCTS","BL400"
"naproxen",500,"MG",311915,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"romosozumab",89.7,"MG",2123190,"IMMUNOLOGICAL AGENTS,OTHER","IM900"
"risankizumab",90.4,"MG",2166143,"ANTIRHEUMATICS,OTHER","MS190"
"solriamfetol",150,"MG",2173841,"CNS STIMULANTS,OTHER","CN809"
"insulin, regular, human",1,"UNT",2179749,"INSULIN","HS501"
"vitamin A",5000,"UNT",705726,"MULTIVITAMINS","VT801"
"cholecalciferol",0.01,"MG",705726,"MULTIVITAMINS WITH MINERALS","VT802"
"tranexamic acid",10,"MG",2170286,"ANTIHEMORRHAGICS","BL116"
"semaglutide",7,"MG",2200658,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"diphenhydramine",38,"MG",895666,"CNS MEDICATIONS,OTHER","CN900"
"ibuprofen",200,"MG",895666,"CNS MEDICATIONS,OTHER","CN900"
"semaglutide",3,"MG",2200654,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"hepatitis B surface antigen vaccine",0.02,"MG",798428,"VACCINES","IM100"
"pegfilgrastim",10,"MG",2260709,"BLOOD FORMATION PRODUCTS","BL400"
"ubrogepant",50,"MG",2268231,"ANTIMIGRAINE AGENTS","CN105"
"diltiazem",240,"MG",1988316,"CALCIUM CHANNEL BLOCKERS","CV200"
"dupilumab",150,"MG",2375329,"DERMATOLOGICALS,SYSTEMIC,OTHER","DE890"
"influenza A virus (H1N1) antigen",0.0857,"MG",2383548,NA,NA
"influenza A virus (H3N2) antigen",0.0857,"MG",2383548,NA,NA
"influenza B virus antigen",0.0857,"MG",2383548,NA,NA
"glycopyrronium",0.009,"MG",2387331,"ANTIASTHMA,OTHER","RE109"
"budesonide",0.16,"MG",2387331,"ANTIASTHMA,OTHER","RE109"
"formoterol",4.8,"MCG",2387331,"ANTIASTHMA,OTHER","RE109"
"dulaglutide",6,"MG",2395779,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"vilanterol",0.025,"MG",2395771,"ANTIASTHMA,OTHER","RE109"
"umeclidinium",0.0625,"MG",2395771,"ANTIASTHMA,OTHER","RE109"
"fluticasone",200,"MCG",2395771,"ANTIASTHMA,OTHER","RE109"
"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein",0.1,"MG",2593847,"VACCINES","IM100"
"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein",0.2,"MG",2601552,"VACCINES","IM100"
"semaglutide",1.34,"MG",2398842,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"semaglutide",2,"MG",2553803,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"epoetin alfa",4000,"UNT",205923,"BLOOD FORMATION PRODUCTS","BL400"
"calcium gluconate",10,"MG",2562542,"CALCIUM","TN420"
"tixagevimab",100,"MG",2587313,NA,NA
"cilgavimab",100,"MG",2587313,NA,NA
"nirmatrelvir",150,"MG",2587899,"ANTIVIRALS","AM800"
"ritonavir",100,"MG",2587899,"ANTIVIRALS","AM800"
"vasopressin (USP)",0.2,"UNT",2591431,"POSTERIOR PITUITARY","HS702"
"bebtelovimab",87.5,"MG",2592364,NA,NA
"semaglutide",2.68,"MG",2599365,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"nirmatrelvir",150,"MG",2599543,"ANTIVIRALS","AM800"
"ritonavir",100,"MG",2599543,"ANTIVIRALS","AM800"
"tirzepatide",5,"MG",2601764,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"tirzepatide",15,"MG",2601785,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"semaglutide",0.68,"MG",2619154,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"bupivacaine",2.5,"MG",1867614,"LOCAL ANESTHETICS,INJECTION","CN204"
"epinephrine",5,"MCG",1867614,"LOCAL ANESTHETICS,INJECTION","CN204"
"alprostadil",0.04,"MG",226921,"PROSTAGLANDINS","HS875"
"lidocaine",10,"MG",1013044,"LOCAL ANESTHETICS,INJECTION","CN204"
"epinephrine",5,"MCG",1867997,"LOCAL ANESTHETICS,INJECTION","CN204"
"lidocaine",15,"MG",1867997,"LOCAL ANESTHETICS,INJECTION","CN204"
"ascorbic acid",100,"MG",211277,"HYPEROSMOTIC LAXATIVES","GA202"
"levofloxacin",5,"MG",1665504,"QUINOLONES","AM400"
"rotigotine",0.0833,"MG",722256,"ANTIPARKINSON AGENTS","CN500"
"azelastine",0.206,"MG",1797884,"ANTIHISTAMINES,NASAL","NT400"
"budesonide",0.08,"MG",1246290,"ANTIASTHMA,OTHER","RE109"
"formoterol",4.5,"MCG",1246290,"ANTIASTHMA,OTHER","RE109"
"potassium nitrate",250,"MG",1536601,"CARIOSTATICS,TOPICAL","OR100"
"silver nitrate",750,"MG",1536601,NA,NA
"codeine",4,"MG",1085618,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"guaifenesin",40,"MG",1085618,"COLD REMEDIES,OTHER","RE599"
"budesonide",0.09,"MG",966529,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"hydromorphone",8,"MG",902743,"OPIOID ANALGESICS","CN101"
"hydrocortisone",100,"MG",105398,"GLUCOCORTICOIDS","HS051"
"sitagliptin",50,"MG",861821,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"metformin",500,"MG",861821,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"pitavastatin",1,"MG",861646,"ANTILIPEMIC AGENTS","CV350"
"hyoscyamine",0.12,"MG",1087367,"ANTISPASMODICS,URINARY,OTHER","GU209"
"sodium phosphate, monobasic",40.8,"MG",1087367,"ANTISPASMODICS,URINARY,OTHER","GU209"
"phenyl salicylate",36,"MG",1087367,"ANTISPASMODICS,URINARY,OTHER","GU209"
"methenamine",118,"MG",1087367,"ANTISPASMODICS,URINARY,OTHER","GU209"
"methylene blue",10,"MG",1087367,"ANTISPASMODICS,URINARY,OTHER","GU209"
"amlodipine",5,"MG",999971,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"olmesartan",20,"MG",999971,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",12.5,"MG",999971,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"propylene glycol",6,"MG",1041798,"EYE WASHES/LUBRICANTS","OP500"
"acetaminophen",21.7,"MG",856942,"OPIOID ANALGESICS","CN101"
"hydrocodone",0.5,"MG",856942,"OPIOID ANALGESICS","CN101"
"pyridoxine",100,"MG",312736,"PYRIDOXINE","VT104"
"ranolazine",1000,"MG",860737,"ANTIANGINALS","CV250"
"thiamine",5,"MG",1102207,"THIAMINE","VT105"
"ferrous bisglycinate",65,"MG",1102207,NA,NA
"vitamin B12",0.01,"MG",1102207,"CYANOCOBALAMIN","VT101"
"ascorbic acid",100,"MG",1102207,"HYPEROSMOTIC LAXATIVES","GA202"
"biotin",0.3,"MG",1102207,"HERBS/ALTERNATIVE THERAPIES","HA000"
"calcium carbonate",100,"MG",1102207,"MULTIVITAMINS WITH MINERALS","VT802"
"succinic acid",150,"MG",1102207,NA,NA
"folic acid",1,"MG",1102207,"FOLIC ACID/LEUCOVORIN","VT102"
"formic acid",155,"MG",1102207,NA,NA
"iron-dextran complex",65,"MG",1102207,"IRON","TN410"
"pantothenate",7,"MG",1102207,NA,NA
"pantothenate",0.3,"MG",1102207,NA,NA
"pyridoxine",30,"MG",1102207,"PYRIDOXINE","VT104"
"niacin",25,"MG",1102207,"NICOTINIC ACID","VT103"
"riboflavin",5,"MG",1102207,"RIBOFLAVIN","VT106"
"vancomycin",5,"MG",1807510,"ANTI-INFECTIVES,OTHER","AM900"
"amlodipine",10,"MG",744624,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"olmesartan",20,"MG",744624,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"amlodipine",5,"MG",744632,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"olmesartan",20,"MG",744632,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"calcium carbonate",2500,"MG",1099861,"MULTIVITAMINS WITH MINERALS","VT802"
"cholecalciferol",800,"UNT",1099861,"MULTIVITAMINS WITH MINERALS","VT802"
"fidaxomicin",200,"MG",1111110,"ERYTHROMYCINS/MACROLIDES","AM200"
"rivaroxaban",10,"MG",1114202,"ANTICOAGULANTS","BL110"
"methylphenidate",20,"MG",1091226,"AMPHETAMINE LIKE STIMULANTS","CN802"
"gabapentin",600,"MG",1115013,"ANTICONVULSANTS","CN400"
"gabapentin",600,"MG",1115013,"CNS MEDICATIONS,OTHER","CN900"
"calcium carbonate",1500,"MG",1442443,"MULTIVITAMINS WITH MINERALS","VT802"
"cholecalciferol",800,"UNT",1442443,"MULTIVITAMINS WITH MINERALS","VT802"
"simethicone",125,"MG",1545652,"ANTACIDS,OTHER","GA199"
"calcium carbonate",1250,"MG",832909,"MULTIVITAMINS WITH MINERALS","VT802"
"cholecalciferol",100,"UNT",832909,"MULTIVITAMINS WITH MINERALS","VT802"
"sitagliptin",50,"MG",1243843,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"metformin",1000,"MG",1243843,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"naftifine",20,"MG",1246677,"ANTIFUNGAL,TOPICAL","DE102"
"magnesium oxide",400,"MG",252430,"MAGNESIUM","TN460"
"potassium gluconate",2.35,"MEQ",1248210,"POTASSIUM","TN430"
"cefixime",40,"MG",705008,"CEPHALOSPORIN 3RD GENERATION","AM117"
"ivermectin",5,"MG",1298427,"ANTIPARASITICS,OTHER","AP900"
"fluticasone",0.0275,"MG",1869712,"ANTI-INFLAMMATORIES,NASAL","NT200"
"cholecalciferol",5600,"UNT",904465,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"alendronate",70,"MG",904465,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"linaclotide",145,"MCG",1307415,"GASTRIC MEDICATIONS,OTHER","GA900"
"calcium carbonate",400,"MG",404687,"MULTIVITAMINS WITH MINERALS","VT802"
"magnesium carbonate",200,"MG",404687,"ALUMINUM/MAGNESIUM CONTAINING ANTACIDS","GA103"
"ezetimibe",10,"MG",1245420,"ANTILIPEMIC AGENTS","CV350"
"simvastatin",10,"MG",1245420,"ANTILIPEMIC AGENTS","CV350"
"cetirizine",10,"MG",1014678,"ANTIHISTAMINES,PIPERAZINE","AH105"
"baclofen",1,"MG",1369788,"SKELETAL MUSCLE RELAXANTS","MS200"
"methylsulfonylmethane",375,"MG",1372529,"HERBS/ALTERNATIVE THERAPIES","HA000"
"chondroitin sulfates",400,"MG",1372529,"HERBS/ALTERNATIVE THERAPIES","HA000"
"glucosamine",750,"MG",1372529,"HERBS/ALTERNATIVE THERAPIES","HA000"
"ascorbic acid",125,"MG",1799178,"HYPEROSMOTIC LAXATIVES","GA202"
"iron carbonyl",65,"MG",1799178,"IRON","TN410"
"carboxymethylcellulose",5,"MG",1188426,"EYE WASHES/LUBRICANTS","OP500"
"vilanterol",0.025,"MG",1424889,"ANTIASTHMA,OTHER","RE109"
"fluticasone",0.1,"MG",1424889,"ANTIASTHMA,OTHER","RE109"
"vitamin K2",0.04,"MG",1430298,"HERBS/ALTERNATIVE THERAPIES","HA000"
"pantoprazole",40,"MG",763308,"GASTRIC MEDICATIONS,OTHER","GA900"
"lutein",20,"MG",485816,"HERBS/ALTERNATIVE THERAPIES","HA000"
"vancomycin",5,"MG",1807508,"ANTI-INFECTIVES,OTHER","AM900"
"S-adenosylmethionine",400,"MG",485707,"HERBS/ALTERNATIVE THERAPIES","HA000"
"armodafinil",200,"MG",861962,"CNS STIMULANTS,OTHER","CN809"
"vilanterol",0.025,"MG",1487524,"ANTIASTHMA,OTHER","RE109"
"umeclidinium",0.0625,"MG",1487524,"ANTIASTHMA,OTHER","RE109"
"amlodipine",2.5,"MG",750215,"CALCIUM CHANNEL BLOCKERS","CV200"
"atorvastatin",40,"MG",750215,"CALCIUM CHANNEL BLOCKERS","CV200"
"olopatadine",0.665,"MG",1797898,"ANTIHISTAMINES,NASAL","NT400"
"budesonide",0.5,"MG",616819,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"carvedilol",10,"MG",860512,"BETA BLOCKERS/RELATED","CV100"
"topiramate",50,"MG",1494781,"ANTICONVULSANTS","CN400"
"ferrous gluconate",325,"MG",1090684,"IRON","TN410"
"influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus",0.03,"MG",1537561,NA,NA
"influenza B virus vaccine, B-Massachusetts-2-2012-like virus",0.03,"MG",1537561,NA,NA
"influenza B virus vaccine B/Brisbane/60/2008 antigen",0.03,"MG",1537561,NA,NA
"influenza A-California-7-2009-(H1N1)v-like virus vaccine",0.03,"MG",1537561,NA,NA
"exenatide",3.08,"MG",1544918,"BLOOD GLUCOSE REGULATION AGENTS","HS500"
"amlodipine",5,"MG",744636,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"olmesartan",40,"MG",744636,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"acetaminophen",325,"MG",1086997,"DECONGESTANT/ANTITUSSIVE/ANALGESIC","RE515"
"dextromethorphan",10,"MG",1086997,"DECONGESTANT/ANTITUSSIVE/ANALGESIC","RE515"
"phenylephrine",5,"MG",1086997,"DECONGESTANT/ANTITUSSIVE/ANALGESIC","RE515"
"droxidopa",100,"MG",1490032,"CARDIOVASCULAR AGENTS,OTHER","CV900"
"alprazolam",0.5,"MG",577643,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"levalbuterol",0.045,"MG",746466,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"bromfenac",0.9,"MG",584232,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"ramelteon",8,"MG",603162,"SEDATIVES/HYPONTICS","CN300"
"suvorexant",15,"MG",1547114,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"meningococcal group B vaccine",0.1,"MG",1601407,"VACCINES","IM100"
"meningococcal group B vaccine",0.05,"MG",1601407,"VACCINES","IM100"
"ropinirole",8,"MG",800499,"ANTIPARKINSON AGENTS","CN500"
"calcium carbonate",1250,"MG",1001691,"MULTIVITAMINS WITH MINERALS","VT802"
"cholecalciferol",100,"UNT",1001691,"VITAMIN D,OTHER","VT509"
"vitamin K1",0.04,"MG",1001691,"PHYTONADIONE","VT702"
"vitamin E",200,"UNT",891793,"VITAMIN E","VT600"
"zinc oxide",34.8,"MG",891793,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"ascorbic acid",226,"MG",891793,"HYPEROSMOTIC LAXATIVES","GA202"
"beta carotene",14320,"UNT",891793,NA,NA
"cuprous oxide",0.8,"MG",891793,NA,NA
"acellular pertussis vaccine, inactivated",0.016,"MG",1300370,"VACCINES/TOXOIDS, OTHER","IM109"
"acellular pertussis vaccine, inactivated",0.005,"MG",1300370,"VACCINES/TOXOIDS, OTHER","IM109"
"diphtheria toxoid vaccine, inactivated",5,"UNT",1300370,"VACCINES/TOXOIDS, OTHER","IM109"
"tetanus toxoid vaccine, inactivated",10,"UNT",1300370,"VACCINES/TOXOIDS, OTHER","IM109"
"retapamulin",0.01,"MG",704858,"ANTIBACTERIAL,TOPICAL","DE101"
"naloxegol",25,"MG",1601373,"GASTRIC MEDICATIONS,OTHER","GA900"
"ivabradine",5,"MG",1649491,"CARDIOVASCULAR AGENTS,OTHER","CV900"
"vitamin E",100,"UNT",259120,"VITAMIN E","VT600"
"ubidecarenone",100,"MG",259120,"HERBS/ALTERNATIVE THERAPIES","HA000"
"botulinum toxin type A",50,"UNT",1726296,"MUSCULOSKELETAL AGENTS,OTHER","MS900"
"eltrombopag",50,"MG",825429,"ANTIHEMORRHAGICS","BL116"
"vitamin B12",2.5,"MG",1245015,"CYANOCOBALAMIN","VT101"
"fenofibrate",45,"MG",828381,"ANTILIPEMIC AGENTS","CV350"
"bimatoprost",0.3,"MG",1041497,"OPHTHALMICS,OTHER","OP900"
"fesoterodine",8,"MG",810079,"ANTISPASMODICS,URINARY","GU201"
"armodafinil",50,"MG",805663,"CNS STIMULANTS,OTHER","CN809"
"magnesium glycinate",100,"MG",849497,"HERBS/ALTERNATIVE THERAPIES","HA000"
"betamethasone",0.643,"MG",1716099,"ANTIPSORIATICS,TOPICAL","DE820"
"calcipotriene",0.05,"MG",1716099,"ANTIPSORIATICS,TOPICAL","DE820"
"ciprofloxacin",2,"MG",848960,"ANTI-INFECTIVES,TOPICAL OTIC OTHER","OT109"
"venetoclax",100,"MG",1747567,"ANTINEOPLASTIC,OTHER","AN900"
"vortioxetine",5,"MG",1790892,"ANTIDEPRESSANTS,OTHER","CN609"
"tadalafil",20,"MG",2110455,"ANTIHYPERTENSIVES,OTHER","CV490"
"tadalafil",20,"MG",2110455,"GENITO-URINARY AGENTS,OTHER","GU900"
"lipase",12000,"UNT",863841,"DIGESTANTS","GA500"
"amylase",60000,"UNT",863841,"DIGESTANTS","GA500"
"protease",38000,"UNT",863841,"DIGESTANTS","GA500"
"lipase",24000,"UNT",863829,"DIGESTANTS","GA500"
"amylase",120000,"UNT",863829,"DIGESTANTS","GA500"
"protease",76000,"UNT",863829,"DIGESTANTS","GA500"
"ethinyl estradiol",0.0025,"MG",1722245,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"norethindrone",0.5,"MG",1722245,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"influenza A virus (H1N1) antigen",0.03,"MG",1801186,NA,NA
"influenza A virus (H3N2) antigen",0.03,"MG",1801186,NA,NA
"influenza B virus antigen",0.03,"MG",1801186,NA,NA
"dronedarone",400,"MG",854859,"ANTIARRHYTHMICS","CV300"
"methylene blue",5,"MG",1788989,"CYANIDE ANTIDOTES","AD200"
"insulin glargine",100,"UNT",1736863,"INSULIN","HS501"
"canagliflozin",50,"MG",1811011,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"metformin",500,"MG",1811011,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"sennosides, USP",17.2,"MG",1039965,"STIMULANT LAXATIVES","GA204"
"biotin",5,"MG",1606308,"HERBS/ALTERNATIVE THERAPIES","HA000"
"linaclotide",72,"MCG",1869699,"GASTRIC MEDICATIONS,OTHER","GA900"
"sodium fluoride",0.011,"MG",853248,"CARIOSTATICS,TOPICAL","OR100"
"empagliflozin",12.5,"MG",1862692,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"metformin",1000,"MG",1862692,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"cholecalciferol",0.125,"MG",1746494,"VITAMIN D,OTHER","VT509"
"vitamin B12",1,"MG",245557,"CYANOCOBALAMIN","VT101"
"apixaban",5,"MG",1992428,"ANTICOAGULANTS","BL110"
"insulin glargine",300,"UNT",2002420,"INSULIN","HS501"
"vancomycin",25,"MG",2000133,"ANTI-INFECTIVES,OTHER","AM900"
"influenza A virus (H1N1) antigen",0.12,"MG",2050423,NA,NA
"influenza A virus (H3N2) antigen",0.12,"MG",2050423,NA,NA
"influenza B virus antigen",0.12,"MG",2050423,NA,NA
"atomoxetine",80,"MG",617947,"CNS MEDICATIONS,OTHER","CN900"
"omalizumab",150,"MG",2058950,"IMMUNE SUPPRESSANTS","IM600"
"salmeterol",50,"MCG",2110510,"ANTIASTHMA,OTHER","RE109"
"fluticasone",0.1,"MG",2110510,"ANTIASTHMA,OTHER","RE109"
"salmeterol",50,"MCG",2110516,"ANTIASTHMA,OTHER","RE109"
"fluticasone",0.5,"MG",2110516,"ANTIASTHMA,OTHER","RE109"
"influenza A virus (H1N1) antigen",0.12,"MG",2177697,NA,NA
"influenza A virus (H3N2) antigen",0.12,"MG",2177697,NA,NA
"influenza B virus antigen",0.12,"MG",2177697,NA,NA
"mepolizumab",100,"MG",2170993,"ANTIASTHMA,OTHER","RE109"
"solriamfetol",75,"MG",2121764,"CNS STIMULANTS,OTHER","CN809"
"semaglutide",14,"MG",2200650,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"orlistat",60,"MG",723846,"GASTRIC MEDICATIONS,OTHER","GA900"
"amlodipine",5,"MG",724891,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"valsartan",160,"MG",724891,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydromorphone",4,"MG",1872272,"OPIOID ANALGESICS","CN101"
"mannose",500,"MG",2539207,"HERBS/ALTERNATIVE THERAPIES","HA000"
"magnesium hydroxide",1200,"MG",2280709,"HYPEROSMOTIC LAXATIVES","GA202"
"semaglutide",2.27,"MG",2553903,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"semaglutide",3.2,"MG",2554104,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"Streptococcus pneumoniae serotype 10A capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 11A capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 12F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 15B capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 8 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0088,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine",0.0044,"MG",2566314,"VACCINES","IM100"
"acetylcysteine",600,"MG",429042,"HERBS/ALTERNATIVE THERAPIES","HA000"
"ruxolitinib",15,"MG",2570757,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"factor VIIa",0.001,"MG",798104,"BLOOD DERIVATIVES","BL500"
"molnupiravir",200,"MG",2603740,"ANTIVIRALS","AM800"
"faricimab",120,"MG",2591594,"OPHTHALMICS,OTHER","OP900"
"tirzepatide",20,"MG",2601770,"HYPOGLYCEMIC AGENTS,OTHER","HS509"
"fluticasone",0.1,"MG",896023,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"fluticasone",0.25,"MG",896027,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"sodium chloride",26.5,"MG",644148,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"amlodipine",5,"MG",848144,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",12.5,"MG",848144,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"valsartan",160,"MG",848144,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"darbepoetin alfa",0.5,"MG",731235,"BLOOD FORMATION PRODUCTS","BL400"
"hepatitis A vaccine (inactivated) strain HM175",1440,"UNT",1658060,"VACCINES","IM100"
"benzocaine",0.2,"MG",244557,"LOCAL ANESTHETICS,TOPICAL","DE700"
"ciprofloxacin",50,"MG",213224,"QUINOLONES","AM400"
"albumin human, USP",250,"MG",1741573,NA,NA
